ONEW,Tc,NTC,Out,,,,,,,,,-14.197,14651.5
2.75,5.15,955.99,50, ,2.68428571428571,5.11047619047619,3.89738095238095,956.126190476191,275,515,1079.30997,8.0430997,5.6430997
2.69,5.09,955.99,50, ,2.66333333333333,5.10904761904762,3.88619047619048,956.246666666667,269,509,1079.30997,8.1030997,5.7030997
2.69,5.15,956.4,50, ,2.64571428571429,5.10857142857143,3.87714285714286,956.357619047619,269,515,1073.4892,8.04489200000002,5.58489200000002
2.63,5.09,956.64,50, ,2.62809523809524,5.10333333333333,3.86571428571429,956.443333333333,263,509,1070.08192,8.07081920000001,5.61081920000001
2.56,4.95,956.78,50, ,2.60761904761905,5.10952380952381,3.85857142857143,956.532857142857,256,495,1068.09434,8.12094340000001,5.73094340000001
2.56,5.07,956.87,50, ,2.58714285714286,5.11333333333333,3.8502380952381,956.624761904762,256,507,1066.81661,8.1081661,5.5981661
2.5,5.04,956.92,50, ,2.56666666666667,5.11571428571429,3.84119047619048,956.698571428572,250,504,1066.10676,8.16106760000001,5.62106760000001
2.5,4.93,956.95,50, ,2.54619047619048,5.13142857142857,3.83880952380952,956.780952380952,250,493,1065.68085,8.15680850000001,5.72680850000001
2.5,4.96,956.97,50, ,2.52571428571429,5.15047619047619,3.83809523809524,956.868571428571,250,496,1065.39691,8.15396910000001,5.69396910000001
2.44,4.97,956.98,50, ,2.50190476190476,5.16142857142857,3.83166666666667,956.959523809524,244,497,1065.25494,8.21254940000001,5.68254940000001
2.44,5.18,956.99,50, ,2.48095238095238,5.16333333333333,3.82214285714286,957.051904761905,244,518,1065.11297,8.2111297,5.4711297
2.44,5.11,956.99,50, ,2.46,5.15952380952381,3.80976190476191,957.145238095238,244,511,1065.11297,8.2111297,5.5411297
2.44,5.17,957,50, ,2.44190476190476,5.16190476190476,3.80190476190476,957.239523809524,244,517,1064.971,8.20971000000001,5.47971000000001
2.44,5.2,957,50, ,2.42380952380952,5.16380952380952,3.79380952380952,957.314761904762,244,520,1064.971,8.20971000000001,5.44971000000001
2.38,5.32,957.4,50, ,2.40857142857143,5.16,3.78428571428571,957.379047619048,238,532,1059.2922,8.21292200000002,5.27292200000002
2.38,5.39,957.64,50, ,2.39666666666667,5.17238095238095,3.78452380952381,957.436666666667,238,539,1055.88492,8.1788492,5.1688492
2.38,5.34,957.38,50, ,2.38476190476191,5.17476190476191,3.77976190476191,957.490476190476,238,534,1059.57614,8.21576140000001,5.25576140000001
2.38,5.4,957.63,50, ,2.37285714285714,5.18571428571429,3.77928571428571,957.541904761905,238,540,1056.02689,8.18026890000001,5.16026890000001
2.38,5.44,957.78,50, ,2.36095238095238,5.19666666666667,3.77880952380952,957.591904761905,238,544,1053.89734,8.15897340000001,5.09897340000001
2.31,5.36,957.87,50, ,2.34904761904762,5.20333333333333,3.77619047619048,957.640952380952,231,536,1052.61961,8.21619610000002,5.16619610000002
